,Training,Validation,Test
F1_macro,0.9878522451923774,0.7652949009971398,0.7421019324584734
F1_weighted,0.9876619402181396,0.777501554473745,0.7554212578517231
Precision_macro,0.9877557197444838,0.7688352322181952,0.743467288310009
Recall_macro,0.9879655623234523,0.7635727167860841,0.7427387016732189
